Number;Words;Syllables;Sentences;Letters;AvgWord;AvgSent;FleschUA;Flasch-Kincaid
1;298;814;20;1955;2,7315436241610738;14,9;-40,17709060402683;22,45321476510067
2;378;999;18;2349;2,642857142857143;21,0;-38,86571428571426;23,78571428571429
3;339;915;27;2105;2,6991150442477876;12,555555555555555;-35,054021632251704;21,156224188790564
4;446;1167;34;2731;2,616591928251121;13,117647058823529;-28,64308889475069;20,401667106304405
5;397;867;41;2150;2,1838790931989926;9,682926829268293;11,45065798365789;13,956114763162748
6;342;904;29;2158;2,6432748538011697;11,793103448275861;-29,55605263157895;20,19995361968139
7;281;752;26;1801;2,676156583629893;10,807692307692308;-31,337654667396635;20,203647686832742
8;417;1178;27;2789;2,824940047961631;15,444444444444445;-48,63103916866507;23,767625899280578
9;436;1096;47;2606;2,5137614678899083;9,27659574468085;-16,044964864337317;17,690257661526456
10;276;687;26;1658;2,489130434782609;10,615384615384615;-15,320050167224082;17,921739130434784
11;393;1024;37;2451;2,6055979643765905;10,621621621621621;-25,1795337322055;19,2984884120762
12;259;660;21;1585;2,548262548262548;12,333333333333334;-22,06634491634489;19,28949806949807
13;355;892;35;2136;2,5126760563380284;10,142857142857142;-16,832394366197178;18,01529175050302
14;367;915;34;2150;2,4931880108991824;10,794117647058824;-15,844735133835542;18,039324410963292
15;391;984;32;2324;2,516624040920716;12,21875;-19,27342511189255;18,871476182864445
16;443;1151;32;2634;2,598194130925508;13,84375;-27,823629726297952;20,467753244920996
17;463;1194;37;2744;2,5788336933045355;12,513513513513514;-24,835546669779887;19,720507851263793
18;401;1004;24;2283;2,5037406483790523;16,708333333333332;-22,740417186201142;20,47038965087282
19;374;940;32;2274;2,513368983957219;11,6875;-18,458828542780708;18,62587901069519
20;387;1076;32;2409;2,7803617571059434;12,09375;-41,458760901162805;21,934831233850137
21;334;938;30;2181;2,808383233532934;11,133333333333333;-42,85455489021953;21,890922155688624
22;420;1096;32;2548;2,6095238095238096;13,125;-28,052589285714276;20,32113095238096
23;408;993;37;2290;2,4338235294117645;11,027027027027026;-11,058903020667714;17,42965818759936
24;365;956;28;2238;2,6191780821917807;13,035714285714286;-28,77871575342462;20,400229941291588
25;496;1201;36;2758;2,4213709677419355;13,777777777777779;-12,79742831541219;18,355510752688172
26;393;1040;31;2374;2,6463104325699747;12,67741935483871;-30,710443240581156;20,5806566527128
27;337;890;36;2143;2,6409495548961424;9,36111111111111;-26,89086012199141;19,224038081107818
28;437;1204;37;2834;2,7551487414187643;11,81081081081081;-39,03855649700043;21,526971364957642
29;320;829;30;2016;2,590625;10,666666666666666;-23,95854166666666;19,139375000000005
30;429;1079;32;2480;2,515151515151515;13,40625;-20,35416193181817;19,317225378787878
31;420;1109;27;2566;2,6404761904761904;15,555555555555555;-33,138174603174576;21,634285714285713
32;460;1107;37;2639;2,4065217391304348;12,432432432432432;-10,1756580493537;17,655605170387776
33;495;1280;43;3026;2,585858585858586;11,511627906976743;-24,412938689217782;19,412666196852246
34;394;1046;31;2457;2,6548223350253806;12,709677419354838;-31,463292123792343;20,69367774684788
35;372;971;22;2294;2,610215053763441;16,90909090909091;-31,951920821114356;21,80508308895406
36;319;911;20;2083;2,8557993730407523;15,95;-51,75487695924761;24,328932601880883
37;433;1201;35;2874;2,7736720554272516;12,371428571428572;-41,17465588914547;21,964187396898712
38;329;910;21;2182;2,765957446808511;15,666666666666666;-43,866666666666674;23,15829787234043
39;382;851;29;2013;2,2277486910994764;13,172413793103448;4,197460732984297;15,83467593428417
40;430;984;34;2240;2,2883720930232556;12,647058823529411;-0,3980437756497679;16,34514363885089
41;410;987;28;2323;2,4073170731707316;14,642857142857142;-12,486524390243886;18,527055749128923
42;420;1100;34;2641;2,619047619047619;12,352941176470589;-28,0746638655462;20,132408963585437
43;437;1169;26;2665;2,675057208237986;16,807692307692307;-37,33464750924131;22,53067505720824
44;405;1095;28;2535;2,7037037037037037;14,464285714285714;-37,37958333333333;21,954775132275135
45;353;1025;20;2362;2,903682719546742;17,65;-57,53130807365437;25,556956090651557
46;389;986;21;2320;2,5347043701799485;18,523809523809526;-27,202656383890314;21,543797282409113
47;407;1012;21;2403;2,4864864864864864;19,38095238095238;-23,993423423423394;21,30911196911197
48;456;1196;29;2806;2,6228070175438596;15,724137931034482;-31,814473684210526;21,49153660012099
49;434;1015;28;2437;2,338709677419355;15,5;-7,5523387096774;18,051774193548393
50;242;461;11;1093;1,9049586776859504;22,0;22,54549586776858;15,46851239669422
51;174;372;12;853;2,1379310344827585;14,5;10,448534482758646;15,292586206896551
52;456;1033;26;2484;2,2653508771929824;17,53846153846154;-3,415222672064772;17,981140350877194
53;449;1080;17;2550;2,4053452115812917;26,41176470588235;-24,265146076247845;23,093661731953365
54;415;1014;26;2478;2,4433734939759035;15,961538461538462;-16,875359128822964;19,466807228915666
55;520;1180;21;2844;2,269230769230769;24,761904761904763;-11,0752564102564;20,84406593406594
56;423;1038;30;2446;2,4539007092198584;14,1;-15,876499999999993;18,86502836879433
57;485;1148;25;2655;2,3670103092783505;19,4;-13,90507216494845;19,906721649484542
58;380;640;45;1517;1,6842105263157894;8,444444444444445;54,97967836257311;7,57701754385965
59;227;400;10;901;1,7621145374449338;22,7;33,919610132158596;14,055951541850224
60;532;1206;32;2843;2,2669172932330826;16,625;-2,620578007518759;17,643374060150375
61;437;814;75;1872;1,862700228832952;5,826666666666667;42,53649397406562;8,662262700228837
62;430;837;63;1884;1,9465116279069767;6,825396825396825;34,43233850129201;10,040741971207087
63;342;862;26;2053;2,52046783625731;13,153846153846153;-20,547732793522243;19,281520467836263
64;458;1127;28;2685;2,460698689956332;16,357142857142858;-18,742609170305656;19,825530255770435
